,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1387,NCV41,14.35,Low Fat,Low,Health and Hygiene,112.52,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.41
1388,FDW19,12.35,Regular,Low,Fruits and Vegetables,110.66,OUT017,2007,NA,Tier 2,Supermarket Type1,2087.28
1389,FDO56,10.195,Regular,High,Fruits and Vegetables,119.18,OUT010,1998,NA,Tier 3,Grocery Store,351.54
1390,FDI41,18.5,Regular,High,Frozen Foods,148.74,OUT045,2002,NA,Tier 2,Supermarket Type1,2501.41
1391,FDN10,11.5,Low Fat,High,Snack Foods,119.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.59
1392,FDY20,12.5,Regular,High,Fruits and Vegetables,92.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.23
1393,DRM37,12.6,Low Fat,High,Soft Drinks,198.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,6897.69
1394,FDV34,10.695,Regular,Low,Snack Foods,72.9,OUT045,2002,NA,Tier 2,Supermarket Type1,1034.65
1395,NCX18,14.15,Low Fat,Low,Household,195.01,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11
1396,FDY10,17.6,Low Fat,High,Snack Foods,114.92,OUT045,2002,NA,Tier 2,Supermarket Type1,1946.8
1397,NCZ17,12.6,Low Fat,High,Health and Hygiene,39.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.07
1398,FDT12,6.215,Regular,High,Baking Goods,227.41,OUT013,1987,High,Tier 3,Supermarket Type1,5191.24
1399,FDD57,18.1,Low Fat,Low,Fruits and Vegetables,96.01,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.98
1400,FDK45,11.65,Low Fat,Low,Seafood,111.59,OUT045,2002,NA,Tier 2,Supermarket Type1,3395.58
1401,FDJ57,7.42,Regular,Low,Seafood,185.06,OUT045,2002,NA,Tier 2,Supermarket Type1,5201.23
1402,NCI31,20.0,Low Fat,High,Others,36.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,769.0
1403,FDZ48,17.75,Low Fat,High,Baking Goods,112.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.94
1404,FDI16,14.0,Regular,High,Frozen Foods,54.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92
1405,FDZ31,15.35,Regular,High,Fruits and Vegetables,193.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,2492.76
1406,DRG15,6.13,Low Fat,High,Dairy,61.55,OUT045,2002,NA,Tier 2,Supermarket Type1,796.3
1407,FDX36,9.695,Regular,High,Baking Goods,226.54,OUT045,2002,NA,Tier 2,Supermarket Type1,4500.81
1408,FDD40,20.25,Regular,Low,Dairy,191.52,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.66
1409,FDA04,12.6,Regular,High,Frozen Foods,259.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.92
1410,FDL21,15.85,Regular,Low,Snack Foods,40.85,OUT013,1987,High,Tier 3,Supermarket Type1,679.12
1411,FDS21,19.85,Regular,Low,Snack Foods,62.82,OUT013,1987,High,Tier 3,Supermarket Type1,928.79
1412,DRF23,4.61,Low Fat,High,Hard Drinks,172.54,OUT017,2007,NA,Tier 2,Supermarket Type1,3663.23
1413,FDM46,7.365,Low Fat,High,Snack Foods,93.91,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.97
1414,DRG49,12.6,Low Fat,High,Soft Drinks,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.88
1415,FDG26,18.85,low fat,Low,Canned,255.93,OUT045,2002,NA,Tier 2,Supermarket Type1,3845.0
1416,FDR51,12.6,Regular,High,Meat,148.47,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77
1417,FDV39,11.3,Low Fat,Low,Meat,196.74,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.4
1418,FDC39,7.405,Low Fat,High,Dairy,205.73,OUT017,2007,NA,Tier 2,Supermarket Type1,4570.05
1419,FDP45,15.7,Regular,Low,Snack Foods,252.97,OUT017,2007,NA,Tier 2,Supermarket Type1,3020.07
1420,FDC56,7.72,Low Fat,High,Fruits and Vegetables,118.24,OUT046,1997,Small,Tier 1,Supermarket Type1,958.75
1421,FDK38,6.65,Low Fat,High,Canned,149.77,OUT017,2007,NA,Tier 2,Supermarket Type1,2375.57
1422,NCJ29,10.6,low fat,Low,Health and Hygiene,84.42,OUT013,1987,High,Tier 3,Supermarket Type1,852.22
1423,NCF19,12.6,Low Fat,High,Household,48.6,OUT019,1985,Small,Tier 1,Grocery Store,145.81
1424,FDG59,15.85,Low Fat,Low,Starchy Foods,37.52,OUT035,2004,Small,Tier 2,Supermarket Type1,270.31
1425,FDE59,12.15,Low Fat,High,Starchy Foods,36.65,OUT017,2007,NA,Tier 2,Supermarket Type1,251.67
1426,FDB04,11.35,Regular,High,Dairy,89.49,OUT017,2007,NA,Tier 2,Supermarket Type1,1142.51
1427,NCK05,20.1,Low Fat,High,Health and Hygiene,60.85,OUT013,1987,High,Tier 3,Supermarket Type1,1347.58
1428,FDR03,15.7,Regular,Low,Meat,205.0,OUT017,2007,NA,Tier 2,Supermarket Type1,5366.35
1429,FDQ03,12.6,Regular,High,Meat,238.02,OUT019,1985,Small,Tier 1,Grocery Store,711.07
1430,FDC59,16.7,Regular,High,Starchy Foods,64.22,OUT017,2007,NA,Tier 2,Supermarket Type1,1661.84
1431,DRB13,6.115,Regular,Low,Soft Drinks,191.15,OUT017,2007,NA,Tier 2,Supermarket Type1,3415.55
1432,NCE54,20.7,Low Fat,Low,Household,73.94,OUT017,2007,NA,Tier 2,Supermarket Type1,1655.18
1433,FDC10,9.8,Regular,High,Snack Foods,118.61,OUT035,2004,Small,Tier 2,Supermarket Type1,843.57
1434,FDR46,12.6,Low Fat,High,Snack Foods,148.08,OUT019,1985,Small,Tier 1,Grocery Store,146.48
1435,FDA10,20.35,Low Fat,High,Snack Foods,121.91,OUT035,2004,Small,Tier 2,Supermarket Type1,1347.58
1436,FDP23,12.6,Low Fat,Low,Breads,218.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,3701.18
1437,FDJ41,6.85,Low Fat,Low,Frozen Foods,260.06,OUT013,1987,High,Tier 3,Supermarket Type1,6018.17
1438,FDL46,20.35,Low Fat,High,Snack Foods,116.55,OUT013,1987,High,Tier 3,Supermarket Type1,1885.55
1439,FDX33,9.195,Regular,High,Snack Foods,158.96,OUT035,2004,Small,Tier 2,Supermarket Type1,2246.41
1440,NCL29,9.695,Low Fat,High,Health and Hygiene,158.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,4436.89
1441,FDE16,12.6,Low Fat,High,Frozen Foods,206.8,OUT019,1985,Small,Tier 1,Grocery Store,833.58
1442,FDM57,11.65,Regular,High,Snack Foods,85.19,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.16
1443,FDZ36,6.035,Regular,High,Baking Goods,188.32,OUT013,1987,High,Tier 3,Supermarket Type1,1491.39
1444,NCW42,18.2,Low Fat,High,Household,221.85,OUT010,1998,NA,Tier 3,Grocery Store,884.18
1445,NCI54,12.6,Low Fat,High,Household,110.49,OUT019,1985,Small,Tier 1,Grocery Store,436.76
1446,DRK01,7.63,Low Fat,High,Soft Drinks,93.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,1323.61
1447,FDX10,6.385,Regular,High,Snack Foods,33.29,OUT045,2002,NA,Tier 2,Supermarket Type1,141.15
1448,FDO46,9.6,Regular,Low,Snack Foods,187.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,2647.22
1449,FDD16,20.5,Low Fat,High,Frozen Foods,75.07,OUT010,1998,NA,Tier 3,Grocery Store,149.14
1450,FDZ20,12.6,Low Fat,High,Fruits and Vegetables,253.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,11445.1
1451,NCI18,18.35,Low Fat,Low,Household,225.47,OUT017,2007,NA,Tier 2,Supermarket Type1,1346.25
1452,DRI25,19.6,Low Fat,Low,Soft Drinks,56.26,OUT046,1997,Small,Tier 1,Supermarket Type1,773.66
1453,FDY44,14.15,Regular,Low,Fruits and Vegetables,197.21,OUT045,2002,NA,Tier 2,Supermarket Type1,3731.81
1454,FDW38,12.6,Regular,High,Dairy,55.93,OUT019,1985,Small,Tier 1,Grocery Store,107.86
1455,FDY33,12.6,Regular,High,Snack Foods,159.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,5887.67
1456,DRH51,17.6,Low Fat,High,Dairy,89.89,OUT035,2004,Small,Tier 2,Supermarket Type1,351.54
1457,FDT32,19.0,Regular,High,Fruits and Vegetables,188.42,OUT017,2007,NA,Tier 2,Supermarket Type1,2826.32
1458,FDI50,8.42,Regular,Low,Canned,228.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,5954.92
1459,FDB60,9.3,Low Fat,Low,Baking Goods,195.81,OUT013,1987,High,Tier 3,Supermarket Type1,2332.96
1460,FDP09,19.75,Low Fat,Low,Snack Foods,213.29,OUT035,2004,Small,Tier 2,Supermarket Type1,4247.8
1461,FDA20,6.78,Low Fat,High,Fruits and Vegetables,185.32,OUT013,1987,High,Tier 3,Supermarket Type1,3914.9
1462,NCX05,12.6,Low Fat,High,Health and Hygiene,116.25,OUT019,1985,Small,Tier 1,Grocery Store,115.85
1463,DRF37,17.25,Low Fat,High,Soft Drinks,263.59,OUT045,2002,NA,Tier 2,Supermarket Type1,788.97
1464,FDJ26,15.3,Regular,High,Canned,215.02,OUT046,1997,Small,Tier 1,Supermarket Type1,1923.5
1465,FDZ25,15.7,Regular,Low,Canned,168.28,OUT046,1997,Small,Tier 1,Supermarket Type1,4074.7
1466,FDZ58,17.85,Low Fat,High,Snack Foods,121.71,OUT035,2004,Small,Tier 2,Supermarket Type1,2817.67
1467,FDZ50,12.6,Regular,High,Dairy,184.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,6064.11
1468,NCG18,15.3,Low Fat,Low,Household,104.03,OUT010,1998,NA,Tier 3,Grocery Store,205.07
1469,FDZ56,16.25,Low Fat,Low,Fruits and Vegetables,166.95,OUT045,2002,NA,Tier 2,Supermarket Type1,2863.61
1470,FDH50,15.0,Regular,High,Canned,185.13,OUT013,1987,High,Tier 3,Supermarket Type1,2213.12
1471,DRO35,13.85,Low Fat,Low,Hard Drinks,116.15,OUT045,2002,NA,Tier 2,Supermarket Type1,1274.34
1472,DRH51,12.6,Low Fat,High,Dairy,89.19,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.25
1473,FDS19,13.8,Regular,High,Fruits and Vegetables,77.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1593.93
1474,NCM06,7.475,Low Fat,High,Household,153.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,2625.92
1475,FDP52,18.7,Regular,High,Frozen Foods,228.6,OUT017,2007,NA,Tier 2,Supermarket Type1,4823.72
1476,FDK02,12.5,Low Fat,High,Canned,119.24,OUT010,1998,NA,Tier 3,Grocery Store,119.84
1477,FDG59,15.85,Low Fat,Low,Starchy Foods,38.32,OUT046,1997,Small,Tier 1,Supermarket Type1,540.63
1478,FDN20,12.6,Low Fat,Low,Fruits and Vegetables,169.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,4211.19
1479,FDO57,20.75,Low Fat,High,Snack Foods,161.36,OUT018,2009,Medium,Tier 3,Supermarket Type2,4492.82
1480,NCJ30,5.82,Low Fat,High,Household,168.38,OUT035,2004,Small,Tier 2,Supermarket Type1,1188.45
1481,FDQ31,5.785,Regular,High,Fruits and Vegetables,89.89,OUT010,1998,NA,Tier 3,Grocery Store,175.77
1482,FDC05,13.1,Regular,High,Frozen Foods,195.78,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.61
1483,FDM08,10.1,Regular,High,Fruits and Vegetables,225.11,OUT013,1987,High,Tier 3,Supermarket Type1,3579.34
1484,NCA41,16.75,Low Fat,Low,Health and Hygiene,192.12,OUT035,2004,Small,Tier 2,Supermarket Type1,3848.32
1485,FDK15,12.6,Low Fat,High,Meat,98.9,OUT027,1985,Medium,Tier 3,Supermarket Type3,4960.21
1486,FDX56,17.1,Regular,High,Fruits and Vegetables,208.56,OUT049,1999,Medium,Tier 1,Supermarket Type1,5383.66
1487,FDT21,7.42,Low Fat,Low,Snack Foods,248.91,OUT046,1997,Small,Tier 1,Supermarket Type1,2241.08
1488,FDQ46,7.51,Low Fat,High,Snack Foods,113.75,OUT046,1997,Small,Tier 1,Supermarket Type1,671.13
1489,FDS01,12.6,Low Fat,Low,Canned,179.67,OUT019,1985,Small,Tier 1,Grocery Store,177.77
1490,FDW34,12.6,Low Fat,High,Snack Foods,242.42,OUT019,1985,Small,Tier 1,Grocery Store,486.03
1491,FDX07,19.2,Regular,Low,Fruits and Vegetables,181.2,OUT035,2004,Small,Tier 2,Supermarket Type1,2380.24
1492,FDN13,18.6,Low Fat,High,Breakfast,99.94,OUT046,1997,Small,Tier 1,Supermarket Type1,201.07
1493,NCP02,7.105,Low Fat,Low,Household,59.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,651.82
1494,FDT48,4.92,Low Fat,High,Baking Goods,199.81,OUT017,2007,NA,Tier 2,Supermarket Type1,3968.17
1495,FDZ49,11.0,Regular,High,Canned,221.58,OUT035,2004,Small,Tier 2,Supermarket Type1,4187.22
1496,NCJ17,7.68,Low Fat,High,Health and Hygiene,84.42,OUT010,1998,NA,Tier 3,Grocery Store,170.44
1497,FDB17,13.15,Low Fat,Low,Frozen Foods,181.4,OUT017,2007,NA,Tier 2,Supermarket Type1,3078.66
1498,FDP48,7.52,Regular,Low,Baking Goods,183.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,4394.28
1499,FDI53,8.895,Regular,High,Frozen Foods,162.12,OUT049,1999,Medium,Tier 1,Supermarket Type1,2577.98
1500,FDW02,4.805,Regular,Low,Dairy,126.77,OUT013,1987,High,Tier 3,Supermarket Type1,2628.58
1501,FDL20,12.6,Low Fat,High,Fruits and Vegetables,112.79,OUT019,1985,Small,Tier 1,Grocery Store,222.38
1502,FDV32,7.785,Low Fat,High,Fruits and Vegetables,62.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,1707.78
1503,FDG38,8.975,Regular,High,Canned,86.02,OUT017,2007,NA,Tier 2,Supermarket Type1,1278.34
1504,NCB31,12.6,Low Fat,High,Household,262.89,OUT027,1985,Medium,Tier 3,Supermarket Type3,5522.81
1505,FDF52,9.3,Low Fat,High,Frozen Foods,182.93,OUT017,2007,NA,Tier 2,Supermarket Type1,4013.44
1506,FDB15,10.895,Low Fat,High,Dairy,263.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,7646.05
1507,FDO48,15.0,Regular,Low,Baking Goods,220.95,OUT018,2009,Medium,Tier 3,Supermarket Type2,1768.36
1508,NCR53,12.15,Low Fat,High,Health and Hygiene,224.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,5626.01
1509,FDF56,16.7,Regular,High,Fruits and Vegetables,180.4,OUT013,1987,High,Tier 3,Supermarket Type1,3078.66
1510,FDL57,15.1,Regular,High,Snack Foods,257.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.96
1511,NCC31,8.02,Low Fat,High,Household,157.8,OUT013,1987,High,Tier 3,Supermarket Type1,1713.77
1512,FDE33,19.35,Regular,High,Fruits and Vegetables,78.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,1492.72
1513,FDV52,20.7,Regular,High,Frozen Foods,119.75,OUT017,2007,NA,Tier 2,Supermarket Type1,4006.78
1514,FDR46,12.6,Low Fat,High,Snack Foods,147.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,3368.95
1515,DRE12,4.59,Low Fat,High,Soft Drinks,114.59,OUT046,1997,Small,Tier 1,Supermarket Type1,1245.05
1516,FDD57,18.1,Low Fat,Low,Fruits and Vegetables,95.51,OUT010,1998,NA,Tier 3,Grocery Store,95.21
1517,NCS41,12.85,Low Fat,High,Health and Hygiene,185.16,OUT049,1999,Medium,Tier 1,Supermarket Type1,2388.89
1518,NCY41,16.75,low fat,High,Health and Hygiene,34.05,OUT017,2007,NA,Tier 2,Supermarket Type1,575.25
1519,FDV22,14.85,Regular,Low,Snack Foods,154.46,OUT017,2007,NA,Tier 2,Supermarket Type1,3755.11
1520,FDF12,8.235,Low Fat,High,Baking Goods,149.11,OUT045,2002,NA,Tier 2,Supermarket Type1,1182.46
1521,FDM13,6.425,Low Fat,High,Breakfast,131.36,OUT013,1987,High,Tier 3,Supermarket Type1,262.33
1522,FDQ56,6.59,Low Fat,High,Fruits and Vegetables,83.49,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.25
1523,FDW55,12.6,Regular,Low,Fruits and Vegetables,247.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,5478.2
1524,NCT29,12.6,Low Fat,High,Health and Hygiene,123.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,4629.97
1525,NCX42,6.36,Low Fat,Low,Household,163.05,OUT017,2007,NA,Tier 2,Supermarket Type1,1644.53
1526,FDR24,17.35,Regular,High,Baking Goods,89.38,OUT017,2007,NA,Tier 2,Supermarket Type1,1258.36
1527,NCS42,8.6,Low Fat,High,Household,90.51,OUT017,2007,NA,Tier 2,Supermarket Type1,729.72
1528,FDL40,17.7,Low Fat,Low,Frozen Foods,96.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,2220.44
1529,FDD47,7.6,Regular,High,Starchy Foods,171.94,OUT046,1997,Small,Tier 1,Supermarket Type1,3749.79
1530,DRE03,19.6,Low Fat,Low,Dairy,48.77,OUT046,1997,Small,Tier 1,Supermarket Type1,236.36
1531,NCM18,12.6,Low Fat,High,Household,61.32,OUT027,1985,Medium,Tier 3,Supermarket Type3,2043.34
1532,FDF52,9.3,Low Fat,High,Frozen Foods,184.23,OUT045,2002,NA,Tier 2,Supermarket Type1,1641.86
1533,NCG43,20.2,Low Fat,High,Household,91.45,OUT045,2002,NA,Tier 2,Supermarket Type1,1943.47
1534,FDE20,11.35,Regular,Low,Fruits and Vegetables,171.18,OUT046,1997,Small,Tier 1,Supermarket Type1,4923.59
1535,FDI33,16.5,Low Fat,Low,Snack Foods,90.31,OUT017,2007,NA,Tier 2,Supermarket Type1,2554.01
1536,NCT06,17.1,Low Fat,Low,Household,165.08,OUT013,1987,High,Tier 3,Supermarket Type1,2320.98
1537,FDY24,4.88,Regular,High,Baking Goods,53.13,OUT035,2004,Small,Tier 2,Supermarket Type1,808.95
1538,FDZ33,10.195,Low Fat,High,Snack Foods,148.71,OUT017,2007,NA,Tier 2,Supermarket Type1,1330.27
1539,FDJ55,12.8,Regular,Low,Meat,223.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,2475.44
1540,FDE45,12.6,Low Fat,High,Fruits and Vegetables,180.4,OUT019,1985,Small,Tier 1,Grocery Store,716.4
1541,FDD44,8.05,Regular,High,Fruits and Vegetables,258.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,3091.98
1542,FDD10,20.6,Regular,High,Snack Foods,178.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,1605.91
1543,FDA39,6.32,Low Fat,Low,Meat,39.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,78.56
1544,FDB36,5.465,Regular,High,Baking Goods,131.26,OUT013,1987,High,Tier 3,Supermarket Type1,3410.23
1545,FDK52,18.25,Low Fat,High,Frozen Foods,226.21,OUT010,1998,NA,Tier 3,Grocery Store,677.12
1546,FDJ36,14.5,Regular,High,Baking Goods,102.03,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.66
1547,NCB55,15.7,Low Fat,High,Household,57.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.59
1548,NCK18,9.6,Low Fat,Low,Household,166.92,OUT010,1998,NA,Tier 3,Grocery Store,660.47
1549,FDX27,20.7,Regular,High,Dairy,94.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,1229.07
1550,FDB08,6.055,Low Fat,Low,Fruits and Vegetables,159.96,OUT046,1997,Small,Tier 1,Supermarket Type1,2727.78
1551,FDX43,5.655,Low Fat,High,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2330.3
1552,FDA20,6.78,Low Fat,High,Fruits and Vegetables,186.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1304.97
1553,FDC04,12.6,Low Fat,High,Dairy,241.39,OUT019,1985,Small,Tier 1,Grocery Store,483.37
1554,FDG17,6.865,Regular,Low,Frozen Foods,244.45,OUT017,2007,NA,Tier 2,Supermarket Type1,4153.93
1555,FDU58,6.61,Regular,High,Snack Foods,188.49,OUT010,1998,NA,Tier 3,Grocery Store,187.09
1556,FDP24,12.6,Low Fat,High,Baking Goods,120.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,3877.62
1557,NCT29,12.6,Low Fat,High,Health and Hygiene,121.94,OUT045,2002,NA,Tier 2,Supermarket Type1,1462.1
1558,FDB08,6.055,Low Fat,Low,Fruits and Vegetables,160.36,OUT018,2009,Medium,Tier 3,Supermarket Type2,1765.04
1559,NCB43,20.2,Low Fat,High,Household,188.39,OUT045,2002,NA,Tier 2,Supermarket Type1,3554.71
1560,FDL09,12.6,Regular,High,Snack Foods,168.88,OUT019,1985,Small,Tier 1,Grocery Store,167.78
1561,DRK49,14.15,Low Fat,Low,Soft Drinks,40.51,OUT046,1997,Small,Tier 1,Supermarket Type1,446.75
1562,FDR37,16.5,Regular,High,Breakfast,184.43,OUT013,1987,High,Tier 3,Supermarket Type1,3101.3
1563,FDG56,13.3,Regular,High,Fruits and Vegetables,61.05,OUT035,2004,Small,Tier 2,Supermarket Type1,1898.86
1564,FDE34,9.195,Low Fat,High,Snack Foods,181.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,6179.96
1565,FDE16,12.6,Low Fat,Low,Frozen Foods,207.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,6668.65
1566,FDT58,9.0,Low Fat,High,Snack Foods,168.68,OUT035,2004,Small,Tier 2,Supermarket Type1,1342.25
1567,FDR03,15.7,Regular,Low,Meat,207.9,OUT035,2004,Small,Tier 2,Supermarket Type1,3095.97
1568,NCL30,18.1,Low Fat,High,Household,128.73,OUT049,1999,Medium,Tier 1,Supermarket Type1,2173.17
1569,FDT22,12.6,Low Fat,High,Snack Foods,59.82,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.82
1570,FDP45,15.7,Regular,Low,Snack Foods,253.17,OUT049,1999,Medium,Tier 1,Supermarket Type1,5285.12
1571,FDS15,9.195,Regular,High,Meat,107.16,OUT013,1987,High,Tier 3,Supermarket Type1,2804.35
1572,FDF16,12.6,Low Fat,High,Frozen Foods,146.61,OUT027,1985,Medium,Tier 3,Supermarket Type3,1773.69
1573,FDL13,13.85,Regular,High,Breakfast,234.93,OUT045,2002,NA,Tier 2,Supermarket Type1,4660.6
1574,NCV30,20.2,Low Fat,High,Household,61.45,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.5
1575,FDG33,12.6,Regular,High,Seafood,172.28,OUT019,1985,Small,Tier 1,Grocery Store,171.78
1576,FDO10,13.65,Regular,Low,Snack Foods,55.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1603.25
1577,FDQ03,15.0,Regular,High,Meat,238.72,OUT013,1987,High,Tier 3,Supermarket Type1,2133.22
1578,NCC55,10.695,Low Fat,High,Household,36.08,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.85
1579,FDD52,12.6,Regular,High,Dairy,109.16,OUT027,1985,Medium,Tier 3,Supermarket Type3,1867.57
1580,FDI16,14.0,Regular,High,Frozen Foods,54.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,319.58
1581,FDB44,6.655,Low Fat,Low,Fruits and Vegetables,210.06,OUT046,1997,Small,Tier 1,Supermarket Type1,4221.17
1582,FDA25,16.5,Regular,High,Canned,101.2,OUT046,1997,Small,Tier 1,Supermarket Type1,1031.99
1583,FDV33,9.6,Regular,Low,Snack Foods,257.83,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.31
1584,FDX47,6.55,Regular,Low,Breads,155.83,OUT049,1999,Medium,Tier 1,Supermarket Type1,1099.9
1585,FDO50,16.25,low fat,High,Canned,89.88,OUT017,2007,NA,Tier 2,Supermarket Type1,1102.56
1586,FDV57,15.25,Regular,High,Snack Foods,179.87,OUT013,1987,High,Tier 3,Supermarket Type1,2696.49
1587,FDB02,9.695,Regular,Low,Canned,174.54,OUT035,2004,Small,Tier 2,Supermarket Type1,1235.06
1588,FDD16,12.6,Low Fat,High,Frozen Foods,74.77,OUT019,1985,Small,Tier 1,Grocery Store,74.57
1589,FDX02,16.0,Low Fat,High,Dairy,225.04,OUT046,1997,Small,Tier 1,Supermarket Type1,4950.89
1590,FDP11,15.85,Low Fat,High,Breads,218.32,OUT010,1998,NA,Tier 3,Grocery Store,435.43
1591,FDH32,12.6,Low Fat,High,Fruits and Vegetables,98.24,OUT027,1985,Medium,Tier 3,Supermarket Type3,2220.44
1592,NCL18,18.85,Low Fat,High,Household,193.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,3110.62
1593,FDT12,6.215,Regular,High,Baking Goods,224.51,OUT045,2002,NA,Tier 2,Supermarket Type1,4514.12
1594,FDD50,12.6,Low Fat,High,Canned,167.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,3889.6
1595,NCU05,11.8,Low Fat,High,Health and Hygiene,80.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,1288.99
1596,FDI56,7.325,Low Fat,High,Fruits and Vegetables,90.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.08
1597,DRL11,10.5,Low Fat,High,Hard Drinks,159.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,1893.54
1598,FDQ08,15.7,Regular,Low,Fruits and Vegetables,61.95,OUT045,2002,NA,Tier 2,Supermarket Type1,1225.07
1599,FDW20,12.6,Low Fat,Low,Fruits and Vegetables,124.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,2463.46
1600,FDW46,13.0,Regular,High,Snack Foods,63.45,OUT045,2002,NA,Tier 2,Supermarket Type1,1043.97
1601,FDO09,13.5,Regular,High,Snack Foods,264.49,OUT049,1999,Medium,Tier 1,Supermarket Type1,6574.78
1602,DRJ49,6.865,Low Fat,Low,Soft Drinks,128.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,1679.15
1603,FDP26,7.785,Low Fat,High,Dairy,103.03,OUT013,1987,High,Tier 3,Supermarket Type1,2404.2
1604,FDO19,17.7,Regular,Low,Fruits and Vegetables,46.9,OUT035,2004,Small,Tier 2,Supermarket Type1,972.07
1605,NCG43,20.2,Low Fat,High,Household,93.65,OUT010,1998,NA,Tier 3,Grocery Store,277.64
1606,FDG02,7.855,Low Fat,Low,Canned,189.52,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.19
1607,FDO32,6.36,Low Fat,High,Fruits and Vegetables,45.91,OUT035,2004,Small,Tier 2,Supermarket Type1,419.45
1608,FDR34,17.0,Regular,Low,Snack Foods,229.44,OUT046,1997,Small,Tier 1,Supermarket Type1,4809.74
1609,FDU59,5.78,Low Fat,High,Breads,163.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1787.01
1610,FDN31,11.5,Low Fat,High,Fruits and Vegetables,187.95,OUT045,2002,NA,Tier 2,Supermarket Type1,2656.54
1611,FDT55,12.6,Regular,Low,Fruits and Vegetables,158.19,OUT027,1985,Medium,Tier 3,Supermarket Type3,6942.96
1612,FDE08,18.2,Low Fat,High,Fruits and Vegetables,147.37,OUT018,2009,Medium,Tier 3,Supermarket Type2,2375.57
