Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDW11,12.6,Low Fat,High,Breads,60.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,1114.55
NCE06,5.82,Low Fat,High,Household,159.79,OUT035,2004,Small,Tier 2,Supermarket Type1,1294.32
FDF32,16.35,Low Fat,High,Fruits and Vegetables,196.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.2
DRI47,14.7,Low Fat,Low,Hard Drinks,141.81,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.57
DRA12,11.6,Low Fat,High,Soft Drinks,141.92,OUT035,2004,Small,Tier 2,Supermarket Type1,992.71
FDX45,16.75,Low Fat,High,Snack Foods,155.16,OUT013,1987,Large,Tier 3,Supermarket Type1,2972.8
FDR35,12.5,Low Fat,Low,Breads,197.27,OUT013,1987,Large,Tier 3,Supermarket Type1,2587.96
FDK03,12.6,Regular,High,Dairy,253.04,OUT010,1998,NA,Tier 3,Grocery Store,254.34
NCJ18,12.35,Low Fat,High,Household,117.61,OUT013,1987,Large,Tier 3,Supermarket Type1,3910.91
FDN48,13.35,Low Fat,High,Baking Goods,93.08,OUT045,2002,NA,Tier 2,Supermarket Type1,2113.25
FDZ59,12.6,Regular,High,Baking Goods,165.65,OUT019,1985,Small,Tier 1,Grocery Store,665.8
FDB57,12.6,Regular,Low,Fruits and Vegetables,223.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,7116.07
DRP35,12.6,Low Fat,High,Hard Drinks,129.33,OUT019,1985,Small,Tier 1,Grocery Store,127.83
FDZ59,6.63,Regular,High,Baking Goods,166.85,OUT013,1987,Large,Tier 3,Supermarket Type1,5326.4
FDU58,6.61,Regular,Low,Snack Foods,188.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,4677.24
FDL09,19.6,Regular,High,Snack Foods,166.88,OUT035,2004,Small,Tier 2,Supermarket Type1,1845.6
FDY38,13.6,Regular,High,Dairy,234.53,OUT017,2007,NA,Tier 2,Supermarket Type1,6524.84
FDI46,12.6,Low Fat,High,Snack Foods,252.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,3271.74
FDL03,19.25,Regular,Low,Meat,197.51,OUT017,2007,NA,Tier 2,Supermarket Type1,982.06
DRC25,12.6,Low Fat,High,Soft Drinks,86.79,OUT019,1985,Small,Tier 1,Grocery Store,85.89
FDU60,20.0,Regular,High,Baking Goods,168.71,OUT045,2002,NA,Tier 2,Supermarket Type1,6426.3
FDP25,12.6,Low Fat,Low,Canned,217.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,6769.85
FDO57,20.75,Low Fat,High,Snack Foods,161.06,OUT010,1998,NA,Tier 3,Grocery Store,481.37
FDQ09,7.24,Low Fat,High,Snack Foods,114.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,3340.32
NCY05,12.6,Low Fat,High,Health and Hygiene,36.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,1058.62
FDA20,6.78,Low Fat,High,Fruits and Vegetables,187.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.39
FDF16,7.3,Low Fat,High,Frozen Foods,146.31,OUT010,1998,NA,Tier 3,Grocery Store,886.85
NCG07,12.3,Low Fat,High,Household,188.75,OUT013,1987,Large,Tier 3,Supermarket Type1,3795.06
FDR46,16.85,Low Fat,High,Snack Foods,145.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,2490.09
FDP22,14.65,Regular,High,Snack Foods,49.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,563.93
FDL45,15.6,Low Fat,Low,Snack Foods,123.77,OUT035,2004,Small,Tier 2,Supermarket Type1,3129.26
NCF42,17.35,Low Fat,High,Household,176.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,1230.4
FDD04,16.0,Low Fat,High,Dairy,141.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,3261.75
FDC45,17.0,Low Fat,High,Fruits and Vegetables,170.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1197.77
FDI40,11.5,Regular,High,Frozen Foods,100.54,OUT045,2002,NA,Tier 2,Supermarket Type1,2111.25
FDQ11,5.7,Regular,High,Breads,256.6,OUT046,1997,Small,Tier 1,Supermarket Type1,2055.99
DRM48,15.2,Low Fat,High,Soft Drinks,36.08,OUT046,1997,Small,Tier 1,Supermarket Type1,1193.11
FDS12,9.1,Low Fat,High,Baking Goods,126.54,OUT013,1987,Large,Tier 3,Supermarket Type1,1761.71
FDR46,16.85,Low Fat,High,Snack Foods,146.08,OUT017,2007,NA,Tier 2,Supermarket Type1,2636.57
NCO02,11.15,Low Fat,High,Others,65.91,OUT045,2002,NA,Tier 2,Supermarket Type1,790.97
FDQ52,17.0,Low Fat,High,Frozen Foods,247.44,OUT013,1987,Large,Tier 3,Supermarket Type1,2980.12
FDY28,7.47,Regular,High,Frozen Foods,215.22,OUT017,2007,NA,Tier 2,Supermarket Type1,3419.55
FDE32,20.7,Low Fat,High,Fruits and Vegetables,37.35,OUT046,1997,Small,Tier 1,Supermarket Type1,834.91
FDJ58,15.6,Regular,High,Snack Foods,173.28,OUT035,2004,Small,Tier 2,Supermarket Type1,3779.08
FDJ27,17.7,Regular,High,Meat,100.77,OUT045,2002,NA,Tier 2,Supermarket Type1,814.94
NCM18,13.0,Low Fat,High,Household,60.02,OUT049,1999,Medium,Tier 1,Supermarket Type1,1114.55
FDA02,14.0,Regular,Low,Dairy,146.38,OUT045,2002,NA,Tier 2,Supermarket Type1,866.87
FDT26,18.85,Regular,High,Dairy,119.04,OUT046,1997,Small,Tier 1,Supermarket Type1,2396.88
DRD60,15.7,Low Fat,Low,Soft Drinks,182.46,OUT035,2004,Small,Tier 2,Supermarket Type1,1999.4
NCR18,15.85,Low Fat,Low,Household,44.01,OUT046,1997,Small,Tier 1,Supermarket Type1,468.72
FDO27,6.18,Regular,High,Meat,94.38,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.25
FDP25,12.6,low fat,Low,Canned,216.48,OUT019,1985,Small,Tier 1,Grocery Store,218.38
FDQ51,16.0,Regular,Low,Meat,48.37,OUT035,2004,Small,Tier 2,Supermarket Type1,614.53
NCH07,13.15,Low Fat,High,Household,158.16,OUT017,2007,NA,Tier 2,Supermarket Type1,1426.14
FDP44,16.5,Regular,High,Fruits and Vegetables,102.73,OUT045,2002,NA,Tier 2,Supermarket Type1,1538.0
NCP55,14.65,Low Fat,Low,Others,57.06,OUT017,2007,NA,Tier 2,Supermarket Type1,939.44
FDO09,13.5,Regular,High,Snack Foods,261.49,OUT013,1987,Large,Tier 3,Supermarket Type1,3418.88
FDP38,10.1,Low Fat,Low,Canned,50.6,OUT049,1999,Medium,Tier 1,Supermarket Type1,404.81
FDI48,11.85,Regular,High,Baking Goods,51.47,OUT017,2007,NA,Tier 2,Supermarket Type1,974.07
FDS58,9.28,Regular,Low,Snack Foods,161.06,OUT045,2002,NA,Tier 2,Supermarket Type1,2406.87
FDJ55,12.8,Regular,Low,Meat,223.54,OUT035,2004,Small,Tier 2,Supermarket Type1,5626.01
NCF06,6.24,Low Fat,Low,Household,260.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,5956.91
FDF41,12.15,Low Fat,High,Frozen Foods,246.85,OUT045,2002,NA,Tier 2,Supermarket Type1,6405.0
NCL05,12.6,Low Fat,High,Health and Hygiene,44.08,OUT019,1985,Small,Tier 1,Grocery Store,216.38
FDT24,12.35,Regular,High,Baking Goods,78.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,1158.49
FDK08,9.2,Regular,High,Fruits and Vegetables,101.0,OUT010,1998,NA,Tier 3,Grocery Store,202.4
FDU55,16.2,Low Fat,Low,Fruits and Vegetables,260.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,2342.95
NCY18,7.28,Low Fat,Low,Household,174.61,OUT017,2007,NA,Tier 2,Supermarket Type1,2976.79
FDS11,7.05,Regular,High,Breads,224.71,OUT046,1997,Small,Tier 1,Supermarket Type1,3131.92
FDC28,12.6,Low Fat,High,Frozen Foods,109.93,OUT019,1985,Small,Tier 1,Grocery Store,108.53
FDR59,14.5,Regular,High,Breads,262.36,OUT046,1997,Small,Tier 1,Supermarket Type1,4448.21
DRE15,13.35,Low Fat,High,Dairy,75.7,OUT017,2007,NA,Tier 2,Supermarket Type1,1442.12
FDP19,11.5,Low Fat,High,Fruits and Vegetables,128.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,2841.63
DRN47,12.1,Low Fat,Low,Hard Drinks,180.67,OUT049,1999,Medium,Tier 1,Supermarket Type1,2876.26
FDJ34,11.8,Regular,High,Snack Foods,124.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,1001.36
FDX21,7.05,Low Fat,High,Snack Foods,107.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,982.72
FDI57,12.6,Low Fat,High,Seafood,195.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,3547.38
NCI42,18.75,Low Fat,Low,Household,207.1,OUT046,1997,Small,Tier 1,Supermarket Type1,3125.93
FDL03,19.25,Regular,Low,Meat,196.31,OUT045,2002,NA,Tier 2,Supermarket Type1,3142.58
FDX37,16.2,Low Fat,High,Canned,100.57,OUT013,1987,Large,Tier 3,Supermarket Type1,1398.18
FDW57,8.31,Regular,High,Snack Foods,176.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,4427.57
FDX14,13.1,Low Fat,High,Dairy,73.84,OUT017,2007,NA,Tier 2,Supermarket Type1,1956.12
FDD09,13.5,Low Fat,Low,Fruits and Vegetables,180.6,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.66
FDM09,11.15,Regular,High,Snack Foods,169.68,OUT046,1997,Small,Tier 1,Supermarket Type1,1018.67
NCW54,7.5,Low Fat,High,Household,56.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,687.11
DRL11,12.6,low fat,High,Hard Drinks,156.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,3787.07
FDJ58,15.6,Regular,High,Snack Foods,169.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.42
FDX21,12.6,Low Fat,High,Snack Foods,111.19,OUT019,1985,Small,Tier 1,Grocery Store,109.19
FDA20,6.78,Low Fat,High,Fruits and Vegetables,186.52,OUT017,2007,NA,Tier 2,Supermarket Type1,2609.94
FDL34,16.0,Low Fat,Low,Snack Foods,141.15,OUT035,2004,Small,Tier 2,Supermarket Type1,4516.79
FDL38,12.6,Regular,Low,Canned,89.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,2319.65
DRL11,10.5,Low Fat,High,Hard Drinks,159.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,3629.28
FDO40,17.1,Low Fat,Low,Frozen Foods,148.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.95
DRZ24,7.54,Low Fat,High,Soft Drinks,121.64,OUT045,2002,NA,Tier 2,Supermarket Type1,1557.97
FDM52,15.1,Low Fat,Low,Frozen Foods,146.61,OUT035,2004,Small,Tier 2,Supermarket Type1,2364.92
FDM52,15.1,Low Fat,Low,Frozen Foods,149.01,OUT017,2007,NA,Tier 2,Supermarket Type1,4138.61
FDV49,10.0,low fat,Low,Canned,264.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,3171.87
FDF47,20.85,Low Fat,High,Starchy Foods,224.07,OUT017,2007,NA,Tier 2,Supermarket Type1,2243.75
FDF56,16.7,Regular,High,Fruits and Vegetables,182.2,OUT035,2004,Small,Tier 2,Supermarket Type1,724.39
FDW12,8.32,Regular,High,Baking Goods,143.64,OUT010,1998,NA,Tier 3,Grocery Store,145.14
FDY09,12.6,Low Fat,Low,Snack Foods,173.81,OUT019,1985,Small,Tier 1,Grocery Store,175.11
FDY55,16.75,Low Fat,High,Fruits and Vegetables,258.5,OUT035,2004,Small,Tier 2,Supermarket Type1,4111.98
FDU36,12.6,Low Fat,High,Baking Goods,98.84,OUT019,1985,Small,Tier 1,Grocery Store,492.69
NCR06,12.5,Low Fat,Low,Household,42.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1022.67
FDW24,6.8,Low Fat,Low,Baking Goods,49.9,OUT046,1997,Small,Tier 1,Supermarket Type1,194.41
FDF16,7.3,Low Fat,High,Frozen Foods,149.81,OUT013,1987,Large,Tier 3,Supermarket Type1,2808.34
NCR18,15.85,Low Fat,Low,Household,42.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,852.22
DRD01,12.1,Regular,High,Soft Drinks,56.56,OUT035,2004,Small,Tier 2,Supermarket Type1,828.92
FDS15,9.2,Regular,High,Meat,107.66,OUT045,2002,NA,Tier 2,Supermarket Type1,323.58
FDT19,7.59,Regular,High,Fruits and Vegetables,174.71,OUT013,1987,Large,Tier 3,Supermarket Type1,2942.84
FDE59,12.15,Low Fat,High,Starchy Foods,34.55,OUT013,1987,Large,Tier 3,Supermarket Type1,359.53
FDE04,19.75,Regular,Low,Frozen Foods,179.77,OUT010,1998,NA,Tier 3,Grocery Store,719.06
NCV17,18.85,Low Fat,Low,Health and Hygiene,130.26,OUT035,2004,Small,Tier 2,Supermarket Type1,2360.93
FDC17,12.15,Low Fat,Low,Frozen Foods,211.29,OUT013,1987,Large,Tier 3,Supermarket Type1,2735.11
FDI45,13.1,Low Fat,Low,Fruits and Vegetables,174.21,OUT035,2004,Small,Tier 2,Supermarket Type1,3677.21
FDZ33,12.6,Low Fat,High,Snack Foods,146.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,3843.0
FDJ56,12.6,Low Fat,High,Fruits and Vegetables,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74
FDN25,7.9,Regular,High,Breakfast,58.56,OUT013,1987,Large,Tier 3,Supermarket Type1,171.78
FDC10,12.6,Regular,High,Snack Foods,118.91,OUT019,1985,Small,Tier 1,Grocery Store,120.51
FDQ22,16.75,Low Fat,Low,Snack Foods,38.98,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.52
NCR54,16.35,Low Fat,High,Household,198.21,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.16
DRK11,8.21,Low Fat,Low,Hard Drinks,149.54,OUT035,2004,Small,Tier 2,Supermarket Type1,1789.67
DRI37,15.85,Low Fat,High,Soft Drinks,58.39,OUT017,2007,NA,Tier 2,Supermarket Type1,468.72
FDX37,16.2,Low Fat,High,Canned,100.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1597.92
FDF05,17.5,Low Fat,Low,Frozen Foods,264.49,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.87
FDW36,12.6,Low Fat,High,Baking Goods,107.46,OUT019,1985,Small,Tier 1,Grocery Store,317.59
FDI04,13.65,Regular,High,Frozen Foods,198.14,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.43
FDB04,11.35,Regular,High,Dairy,88.99,OUT045,2002,NA,Tier 2,Supermarket Type1,1230.4
FDU38,10.8,Low Fat,High,Dairy,191.15,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.26
FDY28,7.47,Regular,High,Frozen Foods,211.82,OUT013,1987,Large,Tier 3,Supermarket Type1,1496.05
FDP20,19.85,Low Fat,High,Fruits and Vegetables,126.4,OUT046,1997,Small,Tier 1,Supermarket Type1,1012.02
FDC29,8.39,Regular,Low,Frozen Foods,113.62,OUT017,2007,NA,Tier 2,Supermarket Type1,2862.94
FDR45,10.8,Low Fat,Low,Snack Foods,239.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.62
NCC42,15.0,Low Fat,Low,Health and Hygiene,140.28,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.84
NCF42,17.35,Low Fat,High,Household,176.77,OUT017,2007,NA,Tier 2,Supermarket Type1,2812.34
FDZ45,14.1,Low Fat,High,Snack Foods,198.81,OUT010,1998,NA,Tier 3,Grocery Store,992.04
FDB23,19.2,Regular,Low,Starchy Foods,226.61,OUT017,2007,NA,Tier 2,Supermarket Type1,5191.24
FDC41,15.6,Low Fat,High,Frozen Foods,78.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.51
FDA10,12.6,Low Fat,High,Snack Foods,124.11,OUT019,1985,Small,Tier 1,Grocery Store,245.01
NCM26,20.5,Low Fat,Low,Others,154.13,OUT017,2007,NA,Tier 2,Supermarket Type1,2909.55
FDZ58,12.6,Low Fat,High,Snack Foods,122.31,OUT019,1985,Small,Tier 1,Grocery Store,122.51
FDW35,10.6,Low Fat,Low,Breads,41.45,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.09
FDX32,15.1,Regular,High,Fruits and Vegetables,143.38,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.74
FDK40,7.04,Low Fat,Low,Frozen Foods,264.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.8
FDD04,16.0,Low Fat,High,Dairy,142.42,OUT017,2007,NA,Tier 2,Supermarket Type1,1985.42
FDP28,13.65,Regular,High,Frozen Foods,262.69,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.9
NCL42,18.85,Low Fat,Low,Household,246.71,OUT013,1987,Large,Tier 3,Supermarket Type1,6615.39
DRB13,6.12,Regular,Low,Soft Drinks,190.35,OUT035,2004,Small,Tier 2,Supermarket Type1,569.26
FDC33,8.96,Regular,High,Fruits and Vegetables,196.58,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.08
FDO58,19.6,Low Fat,Low,Snack Foods,165.95,OUT035,2004,Small,Tier 2,Supermarket Type1,2631.24
FDE34,9.2,Low Fat,High,Snack Foods,182.26,OUT010,1998,NA,Tier 3,Grocery Store,363.53
NCE19,8.97,Low Fat,High,Household,52.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.32
NCJ18,12.35,Low Fat,High,Household,117.11,OUT010,1998,NA,Tier 3,Grocery Store,355.54
FDF52,9.3,Low Fat,High,Frozen Foods,183.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.73
FDY04,17.7,Regular,Low,Frozen Foods,162.42,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.09
DRF49,7.27,Low Fat,High,Soft Drinks,111.95,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.52
FDX27,20.7,Regular,High,Dairy,92.84,OUT010,1998,NA,Tier 3,Grocery Store,189.09
FDV28,16.1,Regular,High,Frozen Foods,32.86,OUT013,1987,Large,Tier 3,Supermarket Type1,339.56
FDE33,12.6,Regular,High,Fruits and Vegetables,78.86,OUT019,1985,Small,Tier 1,Grocery Store,314.26
FDQ37,20.75,Low Fat,High,Breakfast,193.35,OUT013,1987,Large,Tier 3,Supermarket Type1,6006.18
NCG30,20.2,Low Fat,High,Household,123.6,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.11
NCH29,5.51,Low Fat,Low,Health and Hygiene,98.57,OUT017,2007,NA,Tier 2,Supermarket Type1,1761.71
FDV20,20.2,Regular,High,Fruits and Vegetables,129.07,OUT017,2007,NA,Tier 2,Supermarket Type1,3560.7
FDG57,14.7,Low Fat,High,Fruits and Vegetables,48.5,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.86
FDU60,20.0,Regular,High,Baking Goods,168.51,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.92
NCH30,17.1,Low Fat,High,Household,112.99,OUT010,1998,NA,Tier 3,Grocery Store,113.19
NCM29,11.5,Low Fat,Low,Health and Hygiene,132.66,OUT010,1998,NA,Tier 3,Grocery Store,262.33
FDB12,11.15,Regular,High,Baking Goods,104.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.16
FDD53,16.2,Low Fat,Low,Frozen Foods,43.35,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.34
FDI44,16.1,Low Fat,High,Fruits and Vegetables,76.03,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.59
FDW56,12.6,Low Fat,High,Fruits and Vegetables,191.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.23
FDA01,15.0,Regular,High,Canned,59.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.49
FDG47,12.8,Low Fat,High,Starchy Foods,263.03,OUT013,1987,Large,Tier 3,Supermarket Type1,2885.58
FDT40,5.98,Low Fat,High,Frozen Foods,125.27,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.34
FDU20,19.35,Regular,Low,Fruits and Vegetables,120.31,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.71
NCP41,16.6,Low Fat,Low,Health and Hygiene,109.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.89
FDW36,12.6,Low Fat,High,Baking Goods,106.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.97
FDN31,11.5,Low Fat,High,Fruits and Vegetables,189.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.27
NCU54,8.88,Low Fat,High,Household,207.73,OUT010,1998,NA,Tier 3,Grocery Store,209.73
FDS01,11.6,Low Fat,Low,Canned,177.97,OUT046,1997,Small,Tier 1,Supermarket Type1,1244.38
FDA23,9.8,Low Fat,High,Baking Goods,101.7,OUT017,2007,NA,Tier 2,Supermarket Type1,1518.02
FDY08,9.4,Regular,High,Fruits and Vegetables,139.18,OUT045,2002,NA,Tier 2,Supermarket Type1,1685.81
FDJ28,12.3,Low Fat,Low,Frozen Foods,193.32,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.66
DRF36,16.1,Low Fat,Low,Soft Drinks,192.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2866.27
FDH44,19.1,Regular,Low,Fruits and Vegetables,147.54,OUT010,1998,NA,Tier 3,Grocery Store,294.28
NCY54,8.43,Low Fat,High,Household,174.04,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.31
FDR59,14.5,Regular,High,Breads,260.46,OUT010,1998,NA,Tier 3,Grocery Store,1046.64
DRA59,8.27,Regular,High,Soft Drinks,184.89,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.22
FDS55,7.02,Low Fat,High,Fruits and Vegetables,148.07,OUT017,2007,NA,Tier 2,Supermarket Type1,1930.15
FDZ28,20.0,Regular,High,Frozen Foods,128.07,OUT045,2002,NA,Tier 2,Supermarket Type1,1780.35
DRG49,7.81,Low Fat,High,Soft Drinks,246.05,OUT045,2002,NA,Tier 2,Supermarket Type1,7086.11
FDH21,12.6,Low Fat,High,Seafood,158.66,OUT019,1985,Small,Tier 1,Grocery Store,316.92
NCN19,13.1,Low Fat,Low,Others,189.85,OUT013,1987,Large,Tier 3,Supermarket Type1,3415.55
FDP25,15.2,Low Fat,Low,Canned,216.58,OUT045,2002,NA,Tier 2,Supermarket Type1,5241.18
DRH59,10.8,Low Fat,High,Hard Drinks,74.74,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.33
FDH09,12.6,Low Fat,High,Seafood,50.8,OUT035,2004,Small,Tier 2,Supermarket Type1,473.38
NCK54,12.15,Low Fat,Low,Household,115.02,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.88
FDT21,7.42,Low Fat,Low,Snack Foods,248.91,OUT045,2002,NA,Tier 2,Supermarket Type1,5976.22
FDR12,12.6,Regular,High,Baking Goods,172.48,OUT019,1985,Small,Tier 1,Grocery Store,687.11
FDS25,6.88,Regular,High,Canned,111.42,OUT017,2007,NA,Tier 2,Supermarket Type1,2984.12
NCL05,12.6,Low Fat,High,Health and Hygiene,42.18,OUT027,1985,Medium,Tier 3,Supermarket Type3,1255.03
NCI30,20.25,Low Fat,High,Household,246.45,OUT017,2007,NA,Tier 2,Supermarket Type1,3695.19
FDJ26,15.3,Regular,High,Canned,214.02,OUT045,2002,NA,Tier 2,Supermarket Type1,1068.61
FDA56,9.21,Low Fat,Low,Fruits and Vegetables,122.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.94
FDM33,15.6,Low Fat,High,Snack Foods,220.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.14
FDP04,15.35,Low Fat,Low,Frozen Foods,62.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,958.75
FDR55,12.15,Regular,High,Fruits and Vegetables,190.39,OUT045,2002,NA,Tier 2,Supermarket Type1,2836.31
NCZ54,12.6,Low Fat,High,Household,164.06,OUT027,1985,Medium,Tier 3,Supermarket Type3,5523.48
NCA53,11.4,low fat,Low,Health and Hygiene,50.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.07
FDL20,17.1,Low Fat,High,Fruits and Vegetables,111.99,OUT046,1997,Small,Tier 1,Supermarket Type1,3002.09
FDT26,18.85,Regular,High,Dairy,119.04,OUT035,2004,Small,Tier 2,Supermarket Type1,1198.44
NCZ06,19.6,Low Fat,High,Household,251.97,OUT046,1997,Small,Tier 1,Supermarket Type1,4566.06
FDA04,11.3,Regular,High,Frozen Foods,258.2,OUT017,2007,NA,Tier 2,Supermarket Type1,4402.94
FDD29,12.6,Low Fat,Low,Frozen Foods,255.37,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.73
FDS56,5.78,Regular,Low,Fruits and Vegetables,260.73,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.48
FDT07,5.82,Regular,High,Fruits and Vegetables,257.63,OUT013,1987,Large,Tier 3,Supermarket Type1,1538.0
FDT58,9.0,Low Fat,High,Snack Foods,168.08,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.16
FDJ10,12.6,Regular,High,Snack Foods,139.18,OUT027,1985,Medium,Tier 3,Supermarket Type3,4916.93
FDN25,7.9,Regular,High,Breakfast,59.26,OUT035,2004,Small,Tier 2,Supermarket Type1,801.62
DRC27,13.8,Low Fat,High,Dairy,247.48,OUT045,2002,NA,Tier 2,Supermarket Type1,1474.08
FDA38,5.44,Low Fat,Low,Dairy,238.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.31
FDM56,16.7,Low Fat,High,Fruits and Vegetables,109.89,OUT013,1987,Large,Tier 3,Supermarket Type1,873.53
NCI43,19.85,Low Fat,Low,Household,46.94,OUT013,1987,Large,Tier 3,Supermarket Type1,575.25
FDP36,10.4,Regular,High,Baking Goods,49.0,OUT017,2007,NA,Tier 2,Supermarket Type1,860.21
DRK49,12.6,Low Fat,High,Soft Drinks,40.51,OUT019,1985,Small,Tier 1,Grocery Store,40.61
FDW32,12.6,Regular,High,Fruits and Vegetables,87.79,OUT019,1985,Small,Tier 1,Grocery Store,515.33
NCW18,15.1,Low Fat,High,Household,237.92,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.22
FDQ44,20.5,Low Fat,Low,Fruits and Vegetables,121.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.16
FDL45,15.6,Low Fat,Low,Snack Foods,124.97,OUT045,2002,NA,Tier 2,Supermarket Type1,2253.07
DRB48,16.75,Regular,Low,Soft Drinks,39.98,OUT035,2004,Small,Tier 2,Supermarket Type1,746.36
FDQ34,10.85,Low Fat,High,Snack Foods,104.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.07
FDH17,16.2,Regular,Low,Frozen Foods,98.67,OUT017,2007,NA,Tier 2,Supermarket Type1,1272.34
FDN08,7.72,Regular,High,Fruits and Vegetables,116.65,OUT010,1998,NA,Tier 3,Grocery Store,117.85
FDK57,12.6,Low Fat,High,Snack Foods,120.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.23
FDK10,5.78,Regular,Low,Snack Foods,180.47,OUT013,1987,Large,Tier 3,Supermarket Type1,719.06
FDL39,12.6,Regular,High,Dairy,181.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.02
FDP25,15.2,Low Fat,Low,Canned,216.38,OUT035,2004,Small,Tier 2,Supermarket Type1,6114.71
FDC05,13.1,Regular,High,Frozen Foods,196.38,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.84
